name,state,lat,lon,timezone,population,area_km2,is_capital,density,dist_from_DC_km,cap_lat,cap_lon,dist_from_state_capital_km,utc_offset
Sacramento,California,38.581572,-121.4944,UTC-8,525000,259.27,True,2024.9161106182746,3816.587410288096,38.581572,-121.4944,0.0,-8
Los Angeles,California,34.052235,-118.243683,UTC-8,4000000,1302.0,False,3072.1966205837175,3691.9985280574515,38.581572,-121.4944,581.6833135997974,-8
San Diego,California,32.715736,-117.161087,UTC-8,1400000,964.51,False,1451.5142403914942,3652.9271227192535,38.581572,-121.4944,760.5103242536815,-8
San Jose,California,37.338208,-121.886329,UTC-8,1000000,469.72,False,2128.927871923699,3887.2680999654854,38.581572,-121.4944,142.46115942331082,-8
Fresno,California,36.737797,-119.787125,UTC-8,540000,296.28,False,1822.6002430133658,3728.287859489007,38.581572,-121.4944,254.190705646828,-8
Austin,Texas,30.267153,-97.743057,UTC-6,1000000,704.39,True,1419.6680816025214,2118.1723755743233,30.267153,-97.743057,0.0,-6
Houston,Texas,29.760427,-95.369804,UTC-6,2300000,1651.11,False,1393.0022833124383,1961.0905660855576,30.267153,-97.743057,235.34579652170657,-6
Dallas,Texas,32.776665,-96.796989,UTC-6,1300000,881.93,False,1474.0398897871714,1902.2473579830144,30.267153,-97.743057,293.09542737534883,-6
San Antonio,Texas,29.424122,-98.493629,UTC-6,1500000,1194.0,False,1256.2814070351758,2230.091892026242,30.267153,-97.743057,118.43777078642283,-6
El Paso,Texas,31.761878,-106.485023,UTC-7,700000,662.38,False,1056.7951930915788,2773.165942535254,30.267153,-97.743057,849.2517098682737,-7
Montgomery,Alabama,32.366806,-86.299969,UTC-6,200000,421.01,True,475.0480986199853,1107.7931859491894,32.366806,-86.299969,0.0,-6
Birmingham,Alabama,33.518589,-86.810356,UTC-6,200000,383.29,False,521.7981163088001,1060.9986350417144,32.366806,-86.299969,136.6409439068922,-6
Huntsville,Alabama,34.730369,-86.586104,UTC-6,220000,558.37,False,394.0039758583018,967.8800301872891,32.366806,-86.299969,264.15007713769967,-6
Mobile,Alabama,30.695366,-88.039894,UTC-6,180000,466.04,False,386.2329413784224,1355.6665339489632,32.366806,-86.299969,248.45860067028875,-6
Tuscaloosa,Alabama,33.209839,-87.569168,UTC-6,100000,182.57,False,547.7351152982418,1137.9439144386997,32.366806,-86.299969,151.20485694866215,-6
